playname	title	act	scene	line	speaker	speech
the third part of king henry the sixth	3 king henry vi, act 5 scene 1	5.0	1.0	0.0	warwick	['', 'where', 'is the post that came from valiant oxford?', '', 'how', '', 'far', '', 'hence', 'is thy lord, mine', 'honest', 'fellow?', '', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 1	5.0	1.0	1.0	first messenger	['', 'by', 'this at dunsmore, marching hitherward.', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 1	5.0	1.0	2.0	warwick	['', 'how', '', 'far', 'off is our brother montague?', '', 'where', 'is the post that came from montague?', '', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 1	5.0	1.0	3.0	second messenger	['', 'by', 'this at daintry, with a puissant troop.', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 1	5.0	1.0	4.0	warwick	['say, somerville, what says my loving son?', 'and, by thy guess, how nigh is clarence now?', '', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 1	5.0	1.0	5.0	somerset	['', 'at', 'southam i did leave him with his forces,', '', 'and', 'do', 'expect', 'him here some two hours', 'hence', '.', '', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 1	5.0	1.0	6.0	warwick	['', 'then', 'clarence is at hand, i hear his drum.', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 1	5.0	1.0	7.0	somerset	['', 'it', 'is not his, my lord; here southam lies:', '', 'the', 'drum your honour hears marcheth from warwick.', '', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 1	5.0	1.0	8.0	warwick	"['', 'who', ""should that be? belike, unlook'd-for friends."", '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 1	5.0	1.0	9.0	somerset	['', 'they', 'are at hand, and you shall quickly know.', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 1	5.0	1.0	10.0	king edward iv	['go, trumpet, to the walls, and sound a', 'parle', '.', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 1	5.0	1.0	11.0	gloucester	['', 'see', 'how the surly warwick mans the wall!', '']
