	poem_name	poem
0	a lover's complaint	"['from off a hill whose concave womb reworded', 'a plaintful story from a sistering vale,', 'my spirits to attend this double voice accorded,', 'and down i laid to list the sad-tuned tale;', 'ere long espied a fickle maid full pale,', 'tearing of papers, breaking rings a-twain,', ""storming her world with sorrow's wind and rain.""]"
1	a lover's complaint	"['upon her head a platted hive of straw,', 'which fortified her visage from the sun,', 'whereon the thought might think sometime it saw', 'the carcass of beauty spent and done:', 'time had not scythed all that youth begun,', ""nor youth all quit; but, spite of heaven's fell rage,"", ""some beauty peep'd through lattice of sear'd age.""]"
2	a lover's complaint	"['oft did she heave her napkin to her eyne,', 'which on it had conceited characters,', 'laundering the silken figures in the brine', ""that season'd woe had pelleted in tears,"", 'and often reading what contents it bears;', ""as often shrieking undistinguish'd woe,"", 'in clamours of all size, both high and low.']"
3	a lover's complaint	"[""sometimes her levell'd eyes their carriage ride,"", 'as they did battery to the spheres intend;', 'sometime diverted their poor balls are tied', 'to the orbed earth; sometimes they do extend', 'their view right on; anon their gazes lend', ""to every place at once, and, nowhere fix'd,"", ""the mind and sight distractedly commix'd.""]"
4	a lover's complaint	"['her hair, nor loose nor tied in formal plat,', ""proclaim'd in her a careless hand of pride"", ""for some, untuck'd, descended her sheaved hat,"", 'hanging her pale and pined cheek beside;', 'some in her threaden fillet still did bide,', 'and true to bondage would not break from thence,', 'though slackly braided in loose negligence.']"
5	a lover's complaint	"['a thousand favours from a maund she drew', 'of amber, crystal, and of beaded jet,', 'which one by one she in a river threw,', 'upon whose weeping margent she was set;', 'like usury, applying wet to wet,', ""or monarch's hands that let not bounty fall"", 'where want cries some, but where excess begs all.']"
6	a lover's complaint	"['of folded schedules had she many a one,', ""which she perused, sigh'd, tore, and gave the flood;"", ""crack'd many a ring of posied gold and bone"", 'bidding them find their sepulchres in mud;', ""found yet moe letters sadly penn'd in blood,"", 'with sleided silk feat and affectedly', ""enswathed, and seal'd to curious secrecy.""]"
7	a lover's complaint	"['these often bathed she in her fluxive eyes,', ""and often kiss'd, and often 'gan to tear:"", ""cried 'o false blood, thou register of lies,"", 'what unapproved witness dost thou bear!', ""ink would have seem'd more black and damned here!'"", 'this said, in top of rage the lines she rents,', 'big discontent so breaking their contents.']"
8	a lover's complaint	['a reverend man that grazed his cattle nigh--', 'sometime a blusterer, that the ruffle knew', 'of court, of city, and had let go by', 'the swiftest hours, observed as they flew--', 'towards this afflicted fancy fastly drew,', 'and, privileged by age, desires to know', 'in brief the grounds and motives of her woe.']
9	a lover's complaint	"['so slides he down upon his grained bat,', 'and comely-distant sits he by her side;', 'when he again desires her, being sat,', 'her grievance with his hearing to divide:', 'if that from him there may be aught applied', 'which may her suffering ecstasy assuage,', ""'tis promised in the charity of age.""]"
10	a lover's complaint	"[""'father,' she says, 'though in me you behold"", 'the injury of many a blasting hour,', 'let it not tell your judgment i am old;', 'not age, but sorrow, over me hath power:', 'i might as yet have been a spreading flower,', 'fresh to myself, if i had self-applied', 'love to myself and to no love beside.']"
11	a lover's complaint	"[""'but, woe is me! too early i attended"", 'a youthful suit--it was to gain my grace--', ""of one by nature's outwards so commended,"", ""that maidens' eyes stuck over all his face:"", ""love lack'd a dwelling, and made him her place;"", 'and when in his fair parts she did abide,', 'she was new lodged and newly deified.']"
12	a lover's complaint	"[""'his browny locks did hang in crooked curls;"", 'and every light occasion of the wind', 'upon his lips their silken parcels hurls.', ""what's sweet to do, to do will aptly find:"", 'each eye that saw him did enchant the mind,', 'for on his visage was in little drawn', 'what largeness thinks in paradise was sawn.']"
13	a lover's complaint	"[""'small show of man was yet upon his chin;"", 'his phoenix down began but to appear', 'like unshorn velvet on that termless skin', ""whose bare out-bragg'd the web it seem'd to wear:"", ""yet show'd his visage by that cost more dear;"", 'and nice affections wavering stood in doubt', 'if best were as it was, or best without.']"
14	a lover's complaint	"[""'his qualities were beauteous as his form,"", 'for maiden-tongued he was, and thereof free;', 'yet, if men moved him, was he such a storm', ""as oft 'twixt may and april is to see,"", 'when winds breathe sweet, untidy though they be.', 'his rudeness so with his authorized youth', 'did livery falseness in a pride of truth.']"
15	a lover's complaint	"[""'well could he ride, and often men would say"", ""'that horse his mettle from his rider takes:"", 'proud of subjection, noble by the sway,', 'what rounds, what bounds, what course, what stop', ""he makes!'"", 'and controversy hence a question takes,', 'whether the horse by him became his deed,', 'or he his manage by the well-doing steed.']"
16	a lover's complaint	"[""'but quickly on this side the verdict went:"", 'his real habitude gave life and grace', 'to appertainings and to ornament,', ""accomplish'd in himself, not in his case:"", 'all aids, themselves made fairer by their place,', 'came for additions; yet their purposed trim', 'pieced not his grace, but were all graced by him.']"
17	a lover's complaint	"[""'so on the tip of his subduing tongue"", 'all kinds of arguments and question deep,', 'all replication prompt, and reason strong,', 'for his advantage still did wake and sleep:', 'to make the weeper laugh, the laugher weep,', 'he had the dialect and different skill,', 'catching all passions in his craft of will:']"
18	a lover's complaint	"[""'that he did in the general bosom reign"", 'of young, of old; and sexes both enchanted,', 'to dwell with him in thoughts, or to remain', 'in personal duty, following where he haunted:', ""consents bewitch'd, ere he desire, have granted;"", 'and dialogued for him what he would say,', ""ask'd their own wills, and made their wills obey.""]"
19	a lover's complaint	"[""'many there were that did his picture get,"", 'to serve their eyes, and in it put their mind;', ""like fools that in th' imagination set"", 'the goodly objects which abroad they find', ""of lands and mansions, theirs in thought assign'd;"", 'and labouring in moe pleasures to bestow them', 'than the true gouty landlord which doth owe them:']"
20	a lover's complaint	"[""'so many have, that never touch'd his hand,"", 'sweetly supposed them mistress of his heart.', 'my woeful self, that did in freedom stand,', 'and was my own fee-simple, not in part,', 'what with his art in youth, and youth in art,', 'threw my affections in his charmed power,', 'reserved the stalk and gave him all my flower.']"
21	a lover's complaint	"[""'yet did i not, as some my equals did,"", 'demand of him, nor being desired yielded;', 'finding myself in honour so forbid,', 'with safest distance i mine honour shielded:', 'experience for me many bulwarks builded', ""of proofs new-bleeding, which remain'd the foil"", 'of this false jewel, and his amorous spoil.']"
22	a lover's complaint	"[""'but, ah, who ever shunn'd by precedent"", 'the destined ill she must herself assay?', ""or forced examples, 'gainst her own content,"", 'to put the by-past perils in her way?', 'counsel may stop awhile what will not stay;', 'for when we rage, advice is often seen', 'by blunting us to make our wits more keen.']"
23	a lover's complaint	"[""'nor gives it satisfaction to our blood,"", ""that we must curb it upon others' proof;"", 'to be forbod the sweets that seem so good,', 'for fear of harms that preach in our behoof.', 'o appetite, from judgment stand aloof!', 'the one a palate hath that needs will taste,', ""though reason weep, and cry, 'it is thy last.'""]"
24	a lover's complaint	"[""'for further i could say 'this man's untrue,'"", 'and knew the patterns of his foul beguiling;', ""heard where his plants in others' orchards grew,"", 'saw how deceits were gilded in his smiling;', 'knew vows were ever brokers to defiling;', 'thought characters and words merely but art,', 'and bastards of his foul adulterate heart.']"
25	a lover's complaint	"[""'and long upon these terms i held my city,"", ""till thus he gan besiege me: 'gentle maid,"", 'have of my suffering youth some feeling pity,', 'and be not of my holy vows afraid:', ""that's to ye sworn to none was ever said;"", ""for feasts of love i have been call'd unto,"", ""till now did ne'er invite, nor never woo.""]"
26	a lover's complaint	"[""''all my offences that abroad you see"", 'are errors of the blood, none of the mind;', 'love made them not: with acture they may be,', 'where neither party is nor true nor kind:', 'they sought their shame that so their shame did find;', 'and so much less of shame in me remains,', 'by how much of me their reproach contains.']"
27	a lover's complaint	"[""''among the many that mine eyes have seen,"", ""not one whose flame my heart so much as warm'd,"", 'or my affection put to the smallest teen,', ""or any of my leisures ever charm'd:"", ""harm have i done to them, but ne'er was harm'd;"", 'kept hearts in liveries, but mine own was free,', ""and reign'd, commanding in his monarchy.""]"
