	playname	title	act	scene	line	speaker	speech
0	pericles, prince of tyre	prologue	1.0	0.0	0.0	Prologue	"['to sing a song that old was sung,', 'from ashes ancient gower is come;', ""assuming man's infirmities,"", 'to glad your ear, and please your eyes.', 'it hath been sung at festivals,', 'on ember-eves and holy-ales;', 'and lords and ladies in their lives', 'have read it for restoratives:', 'the purchase is to make men glorious;']"
1	the second part of king henry the fourth	induction	0.0	0.0	0.0	Prologue	['open your ears; for which of you will stop', 'the vent of hearing when loud rumour speaks?', 'i, from the orient to the drooping west,', 'making the wind my post-horse, still unfold', 'the acts commenced on this ball of earth:', 'upon my tongues continual slanders ride,', 'the which in every language i pronounce,', 'stuffing the ears of men with false reports.', 'i speak of peace, while covert enmity']
2	the life of king henry the fifth	prologue	1.0	0.0	0.0	Prologue	"['o for a muse of fire, that would ascend', 'the brightest heaven of invention,', 'a kingdom for a stage, princes to act', 'and monarchs to behold the swelling scene!', 'then should the warlike harry, like himself,', 'assume the port of mars; and at his heels,', ""leash'd in like hounds, should famine, sword and fire"", 'crouch for employment. but pardon, and gentles all,', 'the flat unraised spirits that have dared']"
3	the life of king henry the fifth	prologue	2.0	0.0	0.0	Prologue	"['now all the youth of england are on fire,', 'and silken dalliance in the wardrobe lies:', ""now thrive the armourers, and honour's thought"", 'reigns solely in the breast of every man:', 'they sell the pasture now to buy the horse,', 'following the mirror of all christian kings,', 'with winged heels, as english mercuries.', 'for now sits expectation in the air,', 'and hides a sword from hilts unto the point']"
4	the life of king henry the fifth	prologue	3.0	0.0	0.0	Prologue	['thus with imagined wing our swift scene flies', 'in motion of no less celerity', 'than that of thought. suppose that you have seen', 'the well-appointed king at hampton pier', 'embark his royalty; and his brave fleet', 'with silken streamers the young phoebus fanning:', 'play with your fancies, and in them behold', 'upon the hempen tackle ship-boys climbing;', 'hear the shrill whistle which doth order give']
5	the life of king henry the fifth	prologue	4.0	0.0	0.0	Prologue	"['now entertain conjecture of a time', 'when creeping murmur and the poring dark', 'fills the wide vessel of the universe.', 'from camp to camp through the foul womb of night', 'the hum of either army stilly sounds,', 'that the fixed sentinels almost receive', ""the secret whispers of each other's watch:"", 'fire answers fire, and through their paly flames', ""each battle sees the other's umber'd face;""]"
6	the life of king henry the fifth	prologue	5.0	0.0	0.0	Prologue	['vouchsafe to those that have not read the story,', 'that i may prompt them: and of such as have,', 'i humbly pray them to admit the excuse', 'of time, of numbers and due course of things,', 'which cannot in their huge and proper life', 'be here presented. now we bear the king', 'toward calais: grant him there; there seen,', 'heave him away upon your winged thoughts', 'athwart the sea. behold, the english beach']
7	the life of king henry the eighth	prologue	1.0	0.0	0.0	Prologue	['i come no more to make you laugh: things now,', 'that bear a weighty and a serious brow,', 'sad, high, and working, full of state and woe,', 'such noble scenes as draw the eye to flow,', 'we now present. those that can pity, here', 'may, if they think it well, let fall a tear;', 'the subject will deserve it. such as give', 'their money out of hope they may believe,', 'may here find truth too. those that come to see']
8	romeo and juliet	prologue	1.0	0.0	0.0	Prologue	"['two households, both alike in dignity,', 'in fair verona, where we lay our scene,', 'from ancient grudge break to new mutiny,', 'where civil blood makes civil hands unclean.', 'from forth the fatal loins of these two foes', ""a pair of star-cross'd lovers take their life;"", 'whose misadventured piteous overthrows', ""do with their death bury their parents' strife."", ""the fearful passage of their death-mark'd love,""]"
9	romeo and juliet	prologue	2.0	0.0	0.0	Prologue	"['now old desire doth in his death-bed lie,', 'and young affection gapes to be his heir;', ""that fair for which love groan'd for and would die,"", ""with tender juliet match'd, is now not fair."", 'now romeo is beloved and loves again,', 'alike betwitched by the charm of looks,', 'but to his foe supposed he must complain,', ""and she steal love's sweet bait from fearful hooks:"", 'being held a foe, he may not have access']"
